,身份证号,姓名,生日,性别,家庭住址
31,'150123200503253704 ,唐秀梅,2005-03-25,女,吉林省齐齐哈尔市西峰刘路D座 494540
32,'340825199403288775 ,崔阳,1994-03-28,男,四川省敏市大东宁德路w座 563024
33,'211282199003296211 ,陈鑫,1990-03-29,男,天津市郑州县东城张家港街s座 218221
34,'511901199703272182 ,徐刚,1997-03-27,女,吉林省帆市平山沈阳街g座 589797
35,'320583199103298342 ,陈龙,1991-03-29,女,安徽省兰州县友好高路y座 368558
36,'220200200203269068 ,李华,2002-03-26,女,北京市小红市华龙张家港街z座 985992
37,'230902200703251000 ,钟宁,2007-03-25,女,浙江省晶县梁平梁路p座 996060
38,'610328200603259832 ,方秀云,2006-03-25,男,云南省惠州市清浦郑州街k座 662748
39,'511111199703275446 ,陈秀英,1997-03-27,女,辽宁省岩县永川惠路g座 139075
40,'430406199703275790 ,李霞,1997-03-27,男,吉林省兴城县高明东莞街w座 703111
41,'610632200703255303 ,何玲,2007-03-25,女,浙江省涛市龙潭柳州街L座 400543
42,'659002200003267084 ,张健,2000-03-26,女,广东省楠县高港六安街Y座 269286
43,'450101200103262508 ,朱雪梅,2001-03-26,女,山西省建平县清浦王路Z座 617522
44,'220523199003294985 ,叶淑华,1990-03-29,女,湖北省东莞市崇文石家庄路Q座 479544
45,'500117200303267210 ,张平,2003-03-26,男,北京市台北市南湖深圳街B座 923286
46,'410902199503283743 ,李静,1995-03-28,女,内蒙古自治区巢湖市平山六安街I座 632613
47,'141027200203263539 ,杨兰英,2002-03-26,男,陕西省北镇市大东香港街P座 742604
48,'411526200603256131 ,范帆,2006-03-25,男,山东省北京市山亭陈路j座 728765
49,'650107200703251234 ,黄琴,2007-03-25,男,台湾省桂芳县吉区舒街P座 903049
50,'653226200703250415 ,胡凯,2007-03-25,男,江苏省秀华市南湖南昌路P座 205773
51,'522722199803274285 ,徐娜,1998-03-27,女,甘肃省春梅县高坪田路w座 408692
52,'542525200803241915 ,赵婷,2008-03-24,男,山东省南宁市南湖谢街Q座 461693
53,'654026199603274190 ,高勇,1996-03-27,男,浙江省兴城市静安马鞍山街K座 427048
54,'150203199603270805 ,陈桂花,1996-03-27,女,山东省惠州市永川杭州路L座 540380
55,'44178119990327218X ,符芳,1999-03-27,女,江西省瑞县沙市冯街g座 438504
56,'230126200603255992 ,赵瑞,2006-03-25,男,云南省宁县安次司街M座 294345
57,'130623199003297477 ,熊淑华,1990-03-29,男,北京市桂英市高坪郑街T座 993095
58,'320600200403256355 ,李帅,2004-03-25,男,青海省重庆县新城潮州路G座 295089
59,'532326199903271554 ,安凯,1999-03-27,男,吉林省张家港县秀英南昌街v座 241743
60,'430722200403259192 ,张旭,2004-03-25,男,宁夏回族自治区澳门市永川刘街E座 628483
61,'210112199103290583 ,杨林,1991-03-29,女,江苏省静市静安张路D座 976417
62,'652201199103293258 ,郑斌,1991-03-29,男,安徽省红市闵行陈街R座 410646
63,'430426199803276008 ,崔强,1998-03-27,女,江苏省建军县海陵宁德街g座 998555
64,'150825200303264370 ,王建军,2003-03-26,男,黑龙江省福州市西夏宁德街U座 292965
65,'320621199603270473 ,李博,1996-03-27,男,台湾省南宁县龙潭福州路f座 592609
66,'640522199503282157 ,徐桂芝,1995-03-28,男,重庆市邯郸县新城梧州街O座 451839
67,'150403199003294919 ,杨秀荣,1990-03-29,男,澳门特别行政区芳县吉区李路w座 977230
68,'211302199203281755 ,胡伟,1992-03-28,男,甘肃省佳县闵行济南路C座 240651
69,'532600200603253918 ,陈帆,2006-03-25,男,四川省北京市璧山上海路b座 387373
70,'130527200403251203 ,李辉,2004-03-25,女,山东省荣市牧野段街B座 152325
71,'460205200303268421 ,李洁,2003-03-26,女,重庆市台北市徐汇杭州街K座 784572
72,'22028220040325421X ,朱海燕,2004-03-25,男,山西省梧州县安次贵阳街n座 676684
73,'220723199103299143 ,胡楠,1991-03-29,女,山东省艳县高港展街w座 910483
74,'330723200603251526 ,戴红梅,2006-03-25,女,广东省张家港市徐汇六盘水街L座 399324
75,'441801199003296198 ,傅玉梅,1990-03-29,男,山东省石家庄市西峰宜都街f座 992484
76,'331001200403255551 ,岳彬,2004-03-25,男,辽宁省张家港市蓟州香港路F座 956587
77,'350128200703256722 ,刁晨,2007-03-25,女,上海市桂兰县淄川石家庄路d座 237840
78,'131102199103294347 ,余明,1991-03-29,女,台湾省香港县龙潭柳州路A座 463677
79,'370611200603253587 ,刘伟,2006-03-25,女,山西省呼和浩特县牧野沈阳路O座 117823
80,'610802199503281643 ,何丽华,1995-03-28,女,香港特别行政区晨县清河柳州路H座 337996
81,'140622199903271251 ,樊秀芳,1999-03-27,男,青海省兴城市安次马鞍山路o座 144962
82,'530101199803274766 ,李瑞,1998-03-27,女,香港特别行政区瑜市永川周街s座 117303
83,'330683200403258169 ,赵秀荣,2004-03-25,女,广东省娟县静安沈阳街I座 958634
84,'340403199303281488 ,赵桂英,1993-03-28,女,吉林省香港市沙市李街o座 553346
85,'350881200603252484 ,萧秀云,2006-03-25,女,北京市沈阳县秀英永安街o座 957414
86,'510100200103269275 ,傅杨,2001-03-26,男,贵州省健县秀英李路b座 906410
87,'65020519940328682X ,张柳,1994-03-28,女,广东省伟县普陀王路w座 180950
88,'220202200503250919 ,马磊,2005-03-25,男,安徽省兴安盟县锡山赵路M座 996918
89,'431322200003266413 ,张淑英,2000-03-26,男,甘肃省淑华市徐汇杨路V座 862317
90,'500112199703278237 ,李玉,1997-03-27,男,福建省宁德县房山潜江街j座 776492
91,'141002200703259088 ,戴军,2007-03-25,女,河南省兰英县兴山西宁路A座 979039
92,'340800199303284059 ,黄雪梅,1993-03-28,男,四川省荆门市长寿通辽街f座 645226
93,'511623200203260836 ,曹畅,2002-03-26,男,西藏自治区嘉禾县沙湾余街t座 228083
94,'22072319930328443X ,杨玉英,1993-03-28,男,黑龙江省长沙县长寿乌鲁木齐街i座 676410
95,'140105199703271122 ,马玉华,1997-03-27,女,陕西省张家港市蓟州沈街X座 346237
96,'211403200003261888 ,冯桂香,2000-03-26,女,香港特别行政区楠县萧山蒋路T座 313200
97,'542223199203280051 ,苗萍,1992-03-28,男,台湾省海燕市南溪芦路M座 837022
98,'230722200603257055 ,马洋,2006-03-25,男,香港特别行政区通辽市锡山沈阳街O座 643396
99,'152202200103264274 ,刘彬,2001-03-26,男,青海省楠市合川王路K座 728000
100,'430112199203281984 ,张兵,1992-03-28,女,西藏自治区琴市新城梧州路S座 703279
101,'500118199703270356 ,杨柳,1997-03-27,男,澳门特别行政区汕尾县清城韩路k座 258020
102,'511681199903276028 ,黄雷,1999-03-27,女,浙江省东莞县花溪王街I座 871760
103,'610625199503287440 ,马浩,1995-03-28,女,内蒙古自治区南昌市锡山北镇街X座 240294
104,'53082220080324057X ,周红霞,2008-03-24,男,吉林省潮州市浔阳赵路e座 413935
105,'320508200403251998 ,梁建平,2004-03-25,男,辽宁省淑华县翔安黄街d座 891178
106,'140226199803275742 ,胡辉,1998-03-27,女,安徽省潜江市南溪北京街o座 791863
107,'211201199903271441 ,连颖,1999-03-27,女,宁夏回族自治区哈尔滨县兴山刘街x座 591550
108,'511602199903277826 ,王亮,1999-03-27,女,北京市俊县吉区哈尔滨路H座 450299
109,'350583199603274449 ,张萍,1996-03-27,女,重庆市萍市西夏通辽街U座 403506
110,'360481199503283923 ,赵志强,1995-03-28,女,湖北省鹏县普陀杭州路J座 839613
111,'130638200103268892 ,杨凤英,2001-03-26,男,内蒙古自治区桂珍县梁平辽阳街d座 316486
112,'410327200803247656 ,高帆,2008-03-24,男,贵州省兴城市平山上海路c座 439176
113,'510502200603256301 ,刘桂芝,2006-03-25,女,广东省杨市魏都呼和浩特路z座 968374
114,'410300200303268207 ,潘佳,2003-03-26,女,重庆市宁德市沙湾长春街d座 556654
115,'320321200203261489 ,柴岩,2002-03-26,女,新疆维吾尔自治区莹县东丽兴城路c座 732614
116,'330522199203280210 ,刘楠,1992-03-28,男,宁夏回族自治区强县滨城银川街e座 801318
117,'340111199903278673 ,王荣,1999-03-27,男,河北省涛市秀英孔街L座 622095
118,'130403199503283673 ,刘明,1995-03-28,男,四川省台北市璧山西宁路V座 109454
119,'340000199403289080 ,孟璐,1994-03-28,女,湖南省嘉禾市沈北新蒋路C座 160887
120,'13082819970327376X ,智淑兰,1997-03-27,女,福建省海口市闵行六安路w座 625243
121,'230321200603255617 ,张凯,2006-03-25,男,辽宁省红县和平辽阳路D座 198413
122,'360881200203269326 ,李文,2002-03-26,女,湖北省关岭市南长张街V座 613046
123,'610728199203289238 ,王秀珍,1992-03-28,男,江苏省东莞市长寿北镇路H座 610726
124,'460205200203260000 ,钟瑜,2002-03-26,女,湖南省澳门县南溪李路K座 657380
125,'653023200003265149 ,黄志强,2000-03-26,女,甘肃省莹县秀英戴路G座 828001
126,'15052519940328721X ,董玉,1994-03-28,男,安徽省合山市丰都谭路D座 953702
127,'231283199603275828 ,高斌,1996-03-27,女,黑龙江省柳州县璧山李路t座 469182
128,'410882200103263454 ,李鑫,2001-03-26,男,黑龙江省刚市双滦南昌路U座 890505
129,'320101199603271510 ,王成,1996-03-27,男,澳门特别行政区齐齐哈尔市六枝特郭路E座 701544
130,'511525200103262583 ,刘桂香,2001-03-26,女,河南省秀梅市梁平邯郸路g座 547089
131,'130533199403280209 ,田桂芳,1994-03-28,女,西藏自治区福州县淄川杨街M座 153549
132,'623026200803248842 ,范霞,2008-03-24,女,广西壮族自治区南京市锡山兰州路o座 623360
133,'360421200103268416 ,孙坤,2001-03-26,男,辽宁省通辽市高港北镇路O座 924253
134,'620602200003265731 ,林欢,2000-03-26,男,宁夏回族自治区宁德市崇文西安街e座 752432
135,'140724199003296072 ,毛芳,1990-03-29,男,山东省邯郸市平山宜都街W座 874076
136,'320509199503285459 ,高林,1995-03-28,男,福建省明市沈河王路D座 709365
137,'420116200403251009 ,杨龙,2004-03-25,女,重庆市通辽县安次台北路r座 353092
138,'530902199703274451 ,范建军,1997-03-27,男,福建省萍市门头沟拉萨街u座 355391
139,'410801200403252556 ,姜桂英,2004-03-25,男,西藏自治区玲县翔安杨路Q座 686808
140,'320117199303289912 ,徐芳,1993-03-28,男,广东省马鞍山县永川北镇路l座 297572
141,'440308200503257891 ,王雪梅,2005-03-25,男,上海市成都县锡山王街a座 186395
142,'530129199203282873 ,朱桂芝,1992-03-28,男,云南省欣市孝南乐街j座 787109
143,'36082319930328484X ,韦波,1993-03-28,女,安徽省香港县双滦沈阳街K座 897587
144,'410603200403256794 ,谢阳,2004-03-25,男,黑龙江省乌鲁木齐县高港太原街Q座 697995
145,'41082520000326927X ,萧金凤,2000-03-26,男,广西壮族自治区浩县和平陈街z座 596263
146,'510824199703275883 ,何斌,1997-03-27,女,新疆维吾尔自治区佛山县海陵周街U座 867949
147,'441225200003264181 ,蔡柳,2000-03-26,女,浙江省马鞍山市沙湾王路f座 472706
148,'120115200403251220 ,华淑英,2004-03-25,女,海南省海口市金平熊路f座 805144
149,'34170120020326690X ,张敏,2002-03-26,女,新疆维吾尔自治区建军市蓟州龙路J座 450929
150,'450126200803246063 ,苏梅,2008-03-24,女,辽宁省福州市吉区叶街o座 744954
151,'431201200403254764 ,李兰英,2004-03-25,女,澳门特别行政区辽阳市西夏六安街B座 670720
152,'520100199403289370 ,冉畅,1994-03-28,男,河北省北镇市浔阳太原街p座 973676
153,'620921199503283127 ,兰瑞,1995-03-28,女,黑龙江省楠市怀柔辽阳街m座 401912
154,'220204199203283310 ,李晨,1992-03-28,男,福建省香港县花溪黄路b座 382740
155,'350981200703254933 ,马琳,2007-03-25,男,新疆维吾尔自治区柳州县城北长沙路E座 348892
156,'230227199503284426 ,朱俊,1995-03-28,女,湖南省潮州市江北太原街I座 359033
157,'420100200803246937 ,赵鑫,2008-03-24,男,重庆市南昌市兴山冯路m座 734334
158,'510503199203285622 ,张兰英,1992-03-28,女,重庆市沈阳市南溪天津路A座 808933
159,'152202200203268504 ,陶玉英,2002-03-26,女,青海省帆市沈北新南宁路G座 775890
160,'430921200103268331 ,李雷,2001-03-26,男,黑龙江省平市城东武汉街A座 116882
161,'620825199103292323 ,刘璐,1991-03-29,女,江苏省西安县南湖张路X座 944846
162,'371325199103292384 ,杨健,1991-03-29,女,江苏省娜县新城安路W座 397383
163,'411002200503258705 ,黄淑兰,2005-03-25,女,广西壮族自治区燕县双滦石家庄路z座 181799
164,'331125200203262286 ,张秀英,2002-03-26,女,内蒙古自治区荆门市华龙福州街D座 177605
165,'530301199003294954 ,孙颖,1990-03-29,男,河南省颖县涪城马路F座 198522
166,'37072419920328671X ,王秀芳,1992-03-28,男,河南省丹丹市友好马路C座 855885
167,'450981199703275548 ,朱瑜,1997-03-27,女,天津市瑞市龙潭方街M座 776084
168,'532331199203281621 ,蔡宇,1992-03-28,女,重庆市呼和浩特县华龙杭州街P座 305579
169,'511324199203284365 ,王勇,1992-03-28,女,山东省淮安县翔安马鞍山街g座 508195
170,'610823199903275906 ,陈文,1999-03-27,女,山西省云市山亭永安路N座 234052
171,'420601200803243967 ,黄晶,2008-03-24,女,河北省晨县沈北新齐齐哈尔街b座 117559
172,'211281199503286339 ,钱宁,1995-03-28,男,新疆维吾尔自治区潜江市滨城南京路Y座 381525
173,'540228200603255395 ,范帅,2006-03-25,男,广东省凤兰市合川李街G座 852500
174,'654322200403254810 ,周凤英,2004-03-25,男,上海市潮州县西峰广州路b座 988099
175,'230203199203281492 ,车建,1992-03-28,男,陕西省娟县山亭马鞍山街O座 336742
176,'150821199203285886 ,孙秀芳,1992-03-28,女,福建省东莞市沙市佛山街m座 992496
177,'15042820000326187X ,聂雪梅,2000-03-26,男,黑龙江省拉萨市怀柔王街M座 235027
178,'500243199603277026 ,童勇,1996-03-27,女,安徽省拉萨县清浦巢湖路h座 493244
179,'610526199903272177 ,杜丽华,1999-03-27,男,黑龙江省呼和浩特市南湖马鞍山街Q座 692504
180,'654325200803245592 ,赖雪梅,2008-03-24,男,吉林省峰市山亭孙街F座 886987
181,'420322200603252493 ,周红,2006-03-25,男,四川省邯郸市秀英呼和浩特路N座 960207
182,'652101200403252992 ,陶凤兰,2004-03-25,男,新疆维吾尔自治区凤兰市梁平刘街o座 898046
183,'130700200703250289 ,范雪梅,2007-03-25,女,贵州省长沙县吉区李路D座 920035
184,'350524199603276399 ,谷涛,1996-03-27,男,宁夏回族自治区北镇市西夏贾街y座 904060
185,'610401200203264865 ,闵淑珍,2002-03-26,女,山东省玉县翔安廖路K座 715057
186,'360730199103299279 ,王凤英,1991-03-29,男,台湾省云市崇文郑路k座 460890
187,'510122200703256628 ,邹波,2007-03-25,女,北京市天津县清浦福州街J座 966123
188,'500223199103295089 ,王淑珍,1991-03-29,女,江苏省宜都县双滦淮安街S座 175375
189,'330201199503281532 ,罗玉华,1995-03-28,男,陕西省西安县和平黎路v座 740737
190,'340504200303263017 ,蔡红梅,2003-03-26,男,山东省汕尾市花溪贾街c座 344014
191,'211200200503258669 ,窦淑兰,2005-03-25,女,湖北省杭州县沙市六盘水街R座 271389
192,'410502200003264312 ,彭婷,2000-03-26,男,湖北省欣县滨城王街f座 339384
193,'440112200603253234 ,边艳,2006-03-25,男,山东省大冶县上街何路S座 695713
194,'421121200503256490 ,杨淑兰,2005-03-25,男,天津市长沙县清浦唐街c座 398132
195,'36098319910329296X ,王飞,1991-03-29,女,香港特别行政区合肥县双滦张街R座 234345
196,'350425200003266441 ,郭琳,2000-03-26,女,云南省郑州县崇文李路l座 322709
197,'220381200603259479 ,邱桂兰,2006-03-25,男,香港特别行政区瑞市平山雷路X座 894423
198,'140729200803248033 ,赵文,2008-03-24,男,江苏省重庆市徐汇栗路E座 255786
199,'140431199003295595 ,张娟,1990-03-29,男,江苏省淑英县南长李街f座 868792
200,'410223200103263865 ,黄丹丹,2001-03-26,女,西藏自治区刚市璧山朱路j座 624270
201,'442000199303280746 ,祝玉,1993-03-28,女,江西省桂兰市清浦董路F座 669581
202,'530000199603272799 ,李博,1996-03-27,男,内蒙古自治区汕尾市花溪王路A座 439134
203,'34052120010326250X ,邬东,2001-03-26,女,海南省梅县山亭海门街X座 980935
204,'340703200103265418 ,廖桂花,2001-03-26,男,辽宁省通辽市清城澳门路d座 842550
205,'371625200503252375 ,陈建军,2005-03-25,男,西藏自治区沈阳市涪城阜新街o座 830348
206,'410324199103295759 ,邓伟,1991-03-29,男,安徽省呼和浩特市璧山天津路k座 489615
207,'654223199103299078 ,姜丹,1991-03-29,男,湖北省台北县清城文路c座 493772
208,'530523200603251231 ,王凯,2006-03-25,男,宁夏回族自治区玉兰县海港武汉街I座 402151
209,'370301199103292470 ,叶桂兰,1991-03-29,男,澳门特别行政区银川县房山李街h座 461199
210,'610114199003299369 ,彭淑兰,1990-03-29,女,吉林省福州县璧山蔡街Z座 575279
211,'140802200303269829 ,朱秀芳,2003-03-26,女,北京市六盘水县秀英秦路y座 301796
212,'500223199203281661 ,杨磊,1992-03-28,女,江苏省超县华龙东莞路q座 113145
213,'632723199103297031 ,王桂荣,1991-03-29,男,四川省丹丹市魏都银川街l座 968526
214,'141102199903272439 ,王丹丹,1999-03-27,男,江苏省倩市上街崔路c座 485894
215,'542124200703259618 ,刘利,2007-03-25,男,重庆市北镇县萧山合肥路i座 699481
216,'152526199103298935 ,王帆,1991-03-29,男,河北省峰市双滦朱街H座 301881
217,'450521200103268325 ,黄波,2001-03-26,女,贵州省欢市东城褚街w座 742819
218,'231001199703273509 ,柳飞,1997-03-27,女,山东省超县闵行澳门街R座 374976
219,'350581200303260742 ,艾艳,2003-03-26,女,青海省军市双滦天津路y座 517654
220,'522327199503288976 ,郑萍,1995-03-28,男,湖北省宁德市高坪通辽街T座 310581
221,'51052420040325334X ,段艳,2004-03-25,女,北京市兴安盟县梁平马路z座 962121
222,'510300200303264402 ,方晨,2003-03-26,女,湖南省超市锡山陈路d座 789047
223,'450201200303263092 ,郑建国,2003-03-26,男,北京市宇县丰都刘路r座 269706
224,'231002200403251799 ,彭玉华,2004-03-25,男,山东省巢湖市翔安潮州路u座 431887
225,'445300199703273341 ,李玉,1997-03-27,女,新疆维吾尔自治区欣县清河六安街w座 938954
226,'411525199903278680 ,南莹,1999-03-27,女,四川省北京县吉区周街f座 463692
227,'360829200403254422 ,武桂芳,2004-03-25,女,天津市大冶市六枝特惠州街r座 622053
228,'610401200703257645 ,鲁玉梅,2007-03-25,女,安徽省六安市友好济南路p座 633307
229,'130928200403259641 ,邓秀英,2004-03-25,女,新疆维吾尔自治区平县平山贵阳街I座 760570
230,'53012419900329697X ,姜莉,1990-03-29,男,福建省林市长寿朱路Y座 983182
231,'652122200803241020 ,范飞,2008-03-24,女,海南省六盘水市滨城宋街i座 222172
232,'532931200803241744 ,史秀芳,2008-03-24,女,台湾省建平市南湖查路W座 726243
233,'500102200503250304 ,余淑兰,2005-03-25,女,山东省晨县安次通辽路u座 946146
234,'511781200303261165 ,何凤英,2003-03-26,女,辽宁省文县房山沈阳路q座 392099
235,'320322200403254941 ,王建国,2004-03-25,女,四川省玉梅市永川王路r座 546855
236,'331082200603250788 ,张辉,2006-03-25,女,北京市东莞市璧山唐路S座 426186
237,'33092219930328478X ,刘红梅,1993-03-28,女,河南省济南县沈河荆门路L座 134472
238,'310101200303269607 ,黄涛,2003-03-26,女,辽宁省倩县双滦王街E座 596849
239,'150221199503288840 ,林帆,1995-03-28,女,北京市南京市璧山刘路W座 561634
240,'210423200503255884 ,胡小红,2005-03-25,女,河南省昆明县清浦沈阳路k座 384302
241,'430726199603271663 ,陈红霞,1996-03-27,女,宁夏回族自治区文县丰都海门街Y座 534889
242,'120111200103269255 ,李淑珍,2001-03-26,男,云南省丹丹县孝南石家庄路i座 807506
243,'520623200003265895 ,鲁桂英,2000-03-26,男,河北省瑜市崇文马鞍山路g座 234543
244,'420583200803249575 ,李玉兰,2008-03-24,男,吉林省辽阳县长寿王街a座 984560
245,'130823200803244329 ,高超,2008-03-24,女,海南省小红市城北潜江路Y座 910999
246,'232722199203280383 ,单芳,1992-03-28,女,云南省璐县清浦胡街M座 543827
247,'210681199803270014 ,施玲,1998-03-27,男,山西省马鞍山县沙市佛山路p座 896702
248,'211322199603278446 ,苏凤兰,1996-03-27,女,青海省大冶县秀英杨街q座 441709
249,'500229199703271003 ,王霞,1997-03-27,女,湖南省兴安盟市怀柔张路D座 220463
250,'370811200703255492 ,武雷,2007-03-25,男,香港特别行政区玉梅县六枝特俞街C座 153995
251,'360825200803248149 ,吴雪梅,2008-03-24,女,甘肃省贵阳市南湖申路z座 224433
252,'620122200803249041 ,何涛,2008-03-24,女,青海省莉县永川冯路k座 337990
253,'652825199803274086 ,廖佳,1998-03-27,女,江苏省永安市浔阳长沙路k座 532596
254,'360700200203264011 ,沈玉,2002-03-26,男,安徽省彬市沙市长沙路o座 873710
255,'130824200203263637 ,曾桂香,2002-03-26,男,上海市上海市城北鲁街I座 436591
256,'511000200003262346 ,刘楠,2000-03-26,女,重庆市云市沙湾天津路Q座 695723
257,'340321200403250614 ,徐涛,2004-03-25,男,安徽省长春市萧山张街z座 821045
258,'220600200503258346 ,戴桂珍,2005-03-25,女,天津市凤兰市合川王路s座 697164
259,'654028199503281767 ,吴萍,1995-03-28,女,四川省邯郸市长寿阜新街C座 434808
260,'510132200603251726 ,王琴,2006-03-25,女,山西省柳州县高明陈街b座 302953
261,'511825199703275282 ,王兵,1997-03-27,女,山西省荆门市淄川南宁街T座 537857
262,'320102199403284356 ,赵强,1994-03-28,男,澳门特别行政区璐县闵行永安街y座 983279
263,'340700199403287374 ,郑琴,1994-03-28,男,内蒙古自治区银川县涪城严街q座 782047
264,'440307200803247410 ,屈宁,2008-03-24,男,甘肃省潮州市龙潭吴街y座 359785
265,'350401200503257962 ,高芳,2005-03-25,女,四川省丹丹市长寿韩路s座 847963
266,'54213220060325123X ,唐金凤,2006-03-25,男,山西省大冶市合川马路J座 396978
267,'540229199103297290 ,张娜,1991-03-29,男,广西壮族自治区哈尔滨市普陀合肥路h座 908781
268,'320117199403285994 ,张华,1994-03-28,男,湖北省大冶县江北邹路d座 449574
269,'370600199103299699 ,吴欢,1991-03-29,男,广东省沈阳县江北顾街B座 994044
270,'510113200803241849 ,梁红梅,2008-03-24,女,云南省台北县南湖台北街b座 401379
271,'500236199303287587 ,赖玉英,1993-03-28,女,广西壮族自治区武汉县安次赖街m座 277906
272,'440801200403252332 ,刘玉英,2004-03-25,男,山东省大冶县沈北新方路G座 513609
273,'34050420010326578X ,田鹏,2001-03-26,女,安徽省东县牧野北镇街p座 302939
274,'652825199603278517 ,孙静,1996-03-27,男,澳门特别行政区东莞县崇文张路b座 515577
275,'510400200603258878 ,史东,2006-03-25,男,江苏省呼和浩特县高明刘街e座 357695
276,'130403199803276002 ,陈兵,1998-03-27,女,河南省淑华县魏都福州路h座 685142
277,'450326199103295265 ,朱瑜,1991-03-29,女,海南省婷市大东宋街O座 961453
278,'360123199003296840 ,金想,1990-03-29,女,安徽省桂珍市牧野长春路d座 479777
279,'220521200403255689 ,刘桂芝,2004-03-25,女,河南省雷市西夏陈路M座 668598
280,'620122199403289399 ,倪凤英,1994-03-28,男,贵州省文县静安张路o座 479691
281,'210103199703279250 ,杨玉兰,1997-03-27,男,浙江省荣市秀英辽阳街t座 800871
282,'530500199203284499 ,胡玉英,1992-03-28,男,浙江省桂兰市徐汇魏路q座 332004
283,'522723199403282469 ,丁桂英,1994-03-28,女,山东省强县高港北镇路e座 338410
284,'140101200403255614 ,杨琳,2004-03-25,男,北京市琳县龙潭赵路u座 441350
285,'510802199103297271 ,郭林,1991-03-29,男,内蒙古自治区柳州县朝阳潘街x座 591318
286,'140322199103297799 ,罗秀梅,1991-03-29,男,贵州省郑州县金平潮州街u座 486584
287,'520103199003297688 ,唐楠,1990-03-29,女,河北省北镇市涪城北镇街m座 843931
288,'340225199303285881 ,林秀英,1993-03-28,女,湖南省拉萨市永川辽阳路f座 582918
289,'532925199503282584 ,韩璐,1995-03-28,女,江西省静市新城张街g座 433377
290,'530328199703277995 ,刘俊,1997-03-27,男,内蒙古自治区柳州县安次郑州街g座 718205
291,'420322200103268640 ,周桂英,2001-03-26,女,河南省冬梅县平山黄路U座 359690
292,'513323199303284966 ,叶波,1993-03-28,女,浙江省马鞍山县和平太原街z座 503889
293,'350923199803276831 ,吴佳,1998-03-27,男,香港特别行政区哈尔滨县徐汇何路H座 131251
294,'533321200303266377 ,刘阳,2003-03-26,男,广东省雷县秀英刘街e座 585798
295,'130901200703257453 ,戴佳,2007-03-25,男,北京市利县和平王街d座 232002
296,'654326199003299825 ,周勇,1990-03-29,女,陕西省齐齐哈尔县双滦宋街l座 981092
297,'130729200803240638 ,党斌,2008-03-24,男,广西壮族自治区刚市牧野宁德路i座 604382
298,'540228200003261142 ,张桂荣,2000-03-26,女,海南省南京县白云朱路u座 898504
